last_updated,topic,story
"April 16, 2020",False Diagnostic Procedures,"
If you can hold your breath for 10 seconds you don’t have COVID-19
"
"March 27, 2020",Preventions and Cures,gargling with bleach will prevent/cure – also appears as satire
"March 27, 2020",Preventions and Cures,drinking corona beer will prevent/cure – also appears as satire
"March 27, 2020",Preventions and Cures,taking acetic acid will prevent/cure 
"March 27, 2020",Preventions and Cures,taking steroids will prevent/cure 
"March 27, 2020",Preventions and Cures,taking colloidal silver will cure
"March 27, 2020",Preventions and Cures,taking MMS (which contains chlorine dioxide) can cure
"March 27, 2020",Preventions and Cures,using essential oils will prevent 
"March 27, 2020",Preventions and Cures,gargling with salt water will prevent/cure 
"March 27, 2020",Preventions and Cures,gargling with ethanol will prevent/cure 
"March 27, 2020",Preventions and Cures,eating raw garlic will prevent 
"March 27, 2020",Preventions and Cures,garlic will cure
"March 27, 2020",Preventions and Cures,spraying normal drinking alcohol on body will prevent
"March 27, 2020",Preventions and Cures,spraying chlorine on body prevents coronavirus 
"March 27, 2020",Preventions and Cures,drinking or washing in sesame oil prevents coronavirus 
"March 27, 2020",Preventions and Cures,using a hand dryer will kill corona virus
"March 27, 2020",Preventions and Cures,drinking water every 15 minutes will wash virus to the stomach where it will die
"March 27, 2020",Preventions and Cures,drinking hot water will kill the virus
"March 27, 2020",Preventions and Cures,avoiding eating ice cream will prevent
"March 27, 2020",Preventions and Cures,rinsing your nose with saline will prevent
"March 27, 2020",Preventions and Cures,aspirating boiling water vapor for five minutes deactivates the coronavirus
"March 27, 2020",Preventions and Cures,having a pneumonia shot will prevent you from getting the disease
"March 27, 2020",Preventions and Cures,having a flu shot will prevent you from getting the disease
"March 27, 2020",Preventions and Cures,using cocaine prevents/cures
"March 27, 2020",Preventions and Cures,Asians are more likely to get Covid 19
"March 27, 2020",Preventions and Cures,Wearing more than one mask will help prevent the virus
"March 27, 2020",Preventions and Cures,It is dangerous to receive packages from china
"March 27, 2020",Preventions and Cures,It is dangerous to eat in a Chinese restaurant (more so than other restaurants)
"March 27, 2020",Preventions and Cures,Cold weather and snow can kill off the SARS-CoV-2 virus
"March 27, 2020",Preventions and Cures,Warmer weather will kill off the SARS-CoV-2 virus
"March 27, 2020",Preventions and Cures,Taking a hot bath prevents COVID-19
"March 27, 2020",Preventions and Cures,Hand dryers are effective in killing off the SARS-CoV-2 virus
"March 27, 2020",Preventions and Cures,Antibiotics are effective in preventing and treating the SARS-CoV-2 virus
"March 27, 2020",Preventions and Cures,Vinegar is more effective than hand sanitizer
"March 27, 2020",Preventions and Cures,Gargling with Vinegar prevents covid-19
"March 27, 2020",Preventions and Cures,Hand sanitizer does not work
"March 27, 2020",Preventions and Cures,Shuanghuanglian (Chinese medical herb) can prevent
